chembl_id,pref_name,max_phase,smiles,inchi_key_x,ID,SMILES,drug_status,chembl_smiles,inchi_key_y
CHEMBL1939499,MK-6186,1,N#Cc1cc(Cl)cc(Oc2c(Cl)ccc3c2cnn3Cc2n[nH]c3ncccc23)c1,FZBAOOQVQXATRL-UHFFFAOYSA-N,DB12999,N#Cc1cc(cc(c1)Cl)Oc1c(Cl)ccc2c1cnn2Cc1n[nH]c2c1cccn2,Phase 1,N#Cc1cc(Cl)cc(Oc2c(Cl)ccc3c2cnn3Cc2n[nH]c3ncccc23)c1,FZBAOOQVQXATRL-UHFFFAOYSA-N
CHEMBL194378,PSILOCYBIN,3,CN(C)CCc1c[nH]c2cccc(OP(=O)(O)O)c12,QVDSEJDULKLHCG-UHFFFAOYSA-N,DB11664,C[NH+](CCc1c[nH]c2c1c(ccc2)OP(=O)([O-])[O-])C,Phase 3,CN(C)CCc1c[nH]c2cccc(OP(=O)(O)O)c12,QVDSEJDULKLHCG-UHFFFAOYSA-N
CHEMBL19449,IBUDILAST,4,CC(C)C(=O)c1c(C(C)C)nn2ccccc12,ZJVFLBOZORBYFE-UHFFFAOYSA-N,DB05266,CC(C(=O)c1c(nn2c1cccc2)C(C)C)C,APPROVED - Phase 4,CC(C)C(=O)c1c(C(C)C)nn2ccccc12,ZJVFLBOZORBYFE-UHFFFAOYSA-N
CHEMBL1946170,REGORAFENIB,4,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)c(F)c2)ccn1,FNHKPVJBJVTLMP-UHFFFAOYSA-N,DB08896,CNC(=O)c1nccc(c1)Oc1ccc(c(c1)F)NC(=O)Nc1ccc(c(c1)C(F)(F)F)Cl,APPROVED - Phase 4,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)c(F)c2)ccn1,FNHKPVJBJVTLMP-UHFFFAOYSA-N
CHEMBL1946186,DEPTROPINE,2,CN1[C@@H]2CC[C@H]1C[C@@H](OC1c3ccccc3CCc3ccccc31)C2,ZWPODSUQWXAZNC-PMOLBWCYSA-N,DB13466,C[NH+]1[C@@H]2CC[C@H]1C[C@H](C2)OC1c2ccccc2CCc2c1cccc2,Phase 2,CN1[C@@H]2CC[C@H]1C[C@@H](OC1c3ccccc3CCc3ccccc31)C2,ZWPODSUQWXAZNC-PMOLBWCYSA-N
CHEMBL19490,ZOMEPIRAC,4,Cc1cc(CC(=O)O)n(C)c1C(=O)c1ccc(Cl)cc1,ZXVNMYWKKDOREA-UHFFFAOYSA-N,DB04828,[O-]C(=O)Cc1cc(c(n1C)C(=O)c1ccc(cc1)Cl)C,APPROVED - Phase 4,Cc1cc(CC(=O)O)n(C)c1C(=O)c1ccc(Cl)cc1,ZXVNMYWKKDOREA-UHFFFAOYSA-N
CHEMBL1950045,HYDROXYTYROSOL,3,OCCc1ccc(O)c(O)c1,JUUBCHWRXWPFFH-UHFFFAOYSA-N,DB12771,OCCc1ccc(c(c1)O)O,Phase 3,OCCc1ccc(O)c(O)c1,JUUBCHWRXWPFFH-UHFFFAOYSA-N
CHEMBL1950289,TANZISERTIB,2,O[C@H]1CC[C@H](Nc2ncc3nc(Nc4c(F)cc(F)cc4F)n([C@H]4CCOC4)c3n2)CC1,IBGLGMOPHJQDJB-IHRRRGAJSA-N,DB11798,O[C@@H]1CC[C@H](CC1)Nc1ncc2c(n1)n([C@@H]1COCC1)c(n2)Nc1c(F)cc(cc1F)F,Phase 2,O[C@H]1CC[C@H](Nc2ncc3nc(Nc4c(F)cc(F)cc4F)n([C@H]4CCOC4)c3n2)CC1,IBGLGMOPHJQDJB-IHRRRGAJSA-N
CHEMBL1950553,SONEDENOSON,2,Nc1nc(OCCc2ccc(Cl)cc2)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,WUCQGGOGHZRELS-LSCFUAHRSA-N,DB12443,OC[C@H]1O[C@H]([C@@H]([C@@H]1O)O)n1cnc2c1nc(OCCc1ccc(cc1)Cl)nc2N,Phase 2,Nc1nc(OCCc2ccc(Cl)cc2)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,WUCQGGOGHZRELS-LSCFUAHRSA-N
CHEMBL1950554,BINODENOSON,3,Nc1nc(N/N=C/C2CCCCC2)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,XJFMHMFFBSOEPR-DNZQAUTHSA-N,DB04853,OC[C@H]1O[C@H]([C@@H]([C@@H]1O)O)n1cnc2c1nc(N/N=C/C1CCCCC1)nc2N,Phase 3,Nc1nc(N/N=C/C2CCCCC2)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,XJFMHMFFBSOEPR-DNZQAUTHSA-N
