Ligand_Name,Vina_Affinity(kcal/mol),Intramol,CNN_Pose_Score,CNN_Affinity
P4H6__Molport-002-621-888_model_0_ligand,-4.39,0.20,0.3786,4.394
P4H6__Molport-002-667-080_model_0_ligand,-5.73,0.16,0.4123,3.816
P4H6__Molport-002-606-399_model_0_ligand,-5.08,-1.12,0.4546,5.051
P4H6__Molport-002-640-664_model_0_ligand,-5.68,-0.93,0.3615,3.997
P4H6__Molport-002-666-474_model_0_ligand,-5.38,0.69,0.4064,5.583
P4H6__Molport-002-655-451_model_0_ligand,-5.79,-0.41,0.4681,4.346
P4H6__Molport-002-678-292_model_0_ligand,-5.70,-0.59,0.2405,4.653
P4H6__Molport-002-686-710_model_0_ligand,-5.81,-0.33,0.4895,3.698
P4H6__Molport-002-891-300_model_0_ligand,-5.37,-0.27,0.5825,4.006
P4H6__Molport-002-915-160_model_0_ligand,-3.92,-0.18,0.7760,4.240
P4H6__Molport-002-809-855_model_0_ligand,-5.55,-0.44,0.5412,5.139
P4H6__Molport-002-910-367_model_0_ligand,-5.34,-0.29,0.6428,4.440
P4H6__Molport-002-674-620_model_0_ligand,-6.01,0.74,0.3840,4.788
P4H6__Molport-002-895-025_model_0_ligand,-5.28,-0.24,0.5578,4.545
P4H6__Molport-002-940-233_model_0_ligand,-5.60,-0.44,0.5686,4.213
P4H6__Molport-002-864-055_model_0_ligand,-5.32,-1.63,0.2750,4.850
P4H6__Molport-002-939-833_model_0_ligand,-5.93,0.12,0.5821,5.110
P4H6__Molport-002-742-672_model_0_ligand,-5.31,-0.73,0.4365,4.652
P4H6__Molport-002-990-956_model_0_ligand,-5.49,-0.62,0.5130,5.566
P4H6__Molport-002-678-737_model_0_ligand,-5.29,-0.20,0.1984,4.696
P4H6__Molport-002-993-977_model_0_ligand,-5.61,0.52,0.4784,4.691
P4H6__Molport-002-720-461_model_0_ligand,-5.61,-1.21,0.2354,4.503
P4H6__Molport-002-757-223_model_0_ligand,-5.78,-0.71,0.2311,3.835
P4H6__Molport-002-971-069_model_0_ligand,-5.51,-0.48,0.3434,5.158
P4H6__Molport-002-986-099_model_0_ligand,-5.63,0.40,0.4149,5.448
P4H6__Molport-003-048-264_model_0_ligand,-6.43,-0.09,0.4089,5.466
P4H6__Molport-003-125-209_model_0_ligand,-5.46,-0.39,0.5755,4.922
P4H6__Molport-003-104-854_model_0_ligand,-5.12,-0.09,0.4290,3.894
P4H6__Molport-003-042-619_model_0_ligand,-6.52,-0.70,0.5140,5.848
P4H6__Molport-002-994-393_model_0_ligand,-5.38,-1.00,0.2863,4.236
P4H6__Molport-003-699-925_model_0_ligand,-4.27,-0.37,0.5947,3.794
P4H6__Molport-003-803-580_model_0_ligand,-5.07,-0.11,0.5594,4.010
P4H6__Molport-004-786-922_model_0_ligand,-4.64,-0.07,0.5307,3.499
P4H6__Molport-003-183-404_model_0_ligand,-5.67,-0.50,0.2457,4.185
P4H6__Molport-003-128-279_model_0_ligand,-6.31,-0.78,0.6805,5.582
P4H6__Molport-003-136-495_model_0_ligand,-6.02,0.23,0.4545,4.494
P4H6__Molport-003-704-826_model_0_ligand,-5.42,-0.28,0.4775,3.752
P4H6__Molport-003-163-582_model_0_ligand,-4.79,-0.55,0.3998,4.187
P4H6__Molport-003-819-922_model_0_ligand,-4.79,-0.34,0.4496,4.086
P4H6__Molport-004-896-686_model_0_ligand,-5.07,0.09,0.6728,4.174
P4H6__Molport-003-812-040_model_0_ligand,-5.31,-0.90,0.3945,3.088
P4H6__Molport-003-142-953_model_0_ligand,-5.79,0.23,0.1758,3.993
P4H6__Molport-004-171-219_model_0_ligand,-5.48,0.28,0.2907,4.294
P4H6__Molport-003-139-040_model_0_ligand,-6.32,-0.67,0.5940,4.849
P4H6__Molport-003-820-652_model_0_ligand,-4.48,-0.74,0.7220,5.012
P4H6__Molport-003-163-571_model_0_ligand,-5.99,-0.88,0.4580,3.778
P4H6__Molport-004-969-764_model_0_ligand,-4.98,-0.32,0.5289,4.021
P4H6__Molport-004-906-102_model_0_ligand,-5.42,-0.62,0.4625,3.803
P4H6__Molport-005-309-311_model_0_ligand,-6.23,0.13,0.4954,5.364
P4H6__Molport-005-511-714_model_0_ligand,-5.47,-0.28,0.2449,4.706
P4H6__Molport-005-309-025_model_0_ligand,-5.32,-0.18,0.4971,3.634
P4H6__Molport-005-944-005_model_0_ligand,-5.05,-0.37,0.3912,4.093
P4H6__Molport-005-944-143_model_0_ligand,-5.46,-0.25,0.5633,3.786
P4H6__Molport-005-931-842_model_0_ligand,-5.91,-0.51,0.3463,4.710
P4H6__Molport-004-831-350_model_0_ligand,-5.64,-0.23,0.4789,4.111
P4H6__Molport-005-945-530_model_0_ligand,-5.12,0.39,0.6017,3.674
P4H6__Molport-005-292-590_model_0_ligand,-6.63,-0.25,0.4985,5.146
P4H6__Molport-006-388-356_model_0_ligand,-5.03,-0.26,0.3072,3.795
P4H6__Molport-005-931-385_model_0_ligand,-5.41,-0.97,0.4522,4.313
P4H6__Molport-006-318-181_model_0_ligand,-5.31,-0.66,0.7010,3.724
P4H6__Molport-005-292-456_model_0_ligand,-5.85,-0.45,0.3254,5.092
P4H6__Molport-006-780-402_model_0_ligand,-4.92,-0.30,0.3907,3.880
P4H6__Molport-005-309-419_model_0_ligand,-5.18,-1.32,0.1798,4.777
P4H6__Molport-004-980-617_model_0_ligand,-7.02,-0.49,0.2722,4.400
P4H6__Molport-005-916-776_model_0_ligand,-6.07,-0.71,0.2246,4.869
P4H6__Molport-007-550-567_model_0_ligand,-5.00,-0.40,0.4186,4.227
P4H6__Molport-008-121-532_model_0_ligand,-5.19,-0.23,0.2115,4.657
