Ligand_Name,Vina_Affinity(kcal/mol),Intramol,CNN_Pose_Score,CNN_Affinity
P4H6__Molport-002-139-733_model_0_ligand,-7.96,0.17,0.4004,5.387
P4H6__Molport-002-174-606_model_0_ligand,-8.05,-0.36,0.1652,5.431
P4H6__Molport-002-247-334_model_0_ligand,-6.87,0.71,0.8474,6.286
P4H6__Molport-002-162-649_model_0_ligand,6.72,-0.36,0.2145,4.451
P4H6__Molport-002-321-835_model_0_ligand,-6.28,-0.31,0.2357,3.265
P4H6__Molport-002-203-160_model_0_ligand,24.35,0.09,0.2505,4.232
P4H6__Molport-002-329-882_model_0_ligand,9.72,0.37,0.5409,4.623
P4H6__Molport-002-338-400_model_0_ligand,-5.87,0.38,0.2527,5.198
P4H6__Molport-002-186-124_model_0_ligand,-3.72,-0.06,0.2820,6.118
P4H6__Molport-002-357-027_model_0_ligand,-3.36,0.27,0.6319,5.114
P4H6__Molport-002-467-061_model_0_ligand,-2.49,0.09,0.6019,5.320
P4H6__Molport-002-507-865_model_0_ligand,-6.07,0.08,0.5617,5.767
P4H6__Molport-002-509-014_model_0_ligand,-8.15,1.03,0.5244,4.313
P4H6__Molport-002-511-234_model_0_ligand,-6.71,0.93,0.3243,3.781
P4H6__Molport-002-514-183_model_0_ligand,-5.45,1.85,0.7701,5.472
P4H6__Molport-002-248-771_model_0_ligand,-0.26,1.74,0.3016,5.522
P4H6__Molport-002-511-345_model_0_ligand,-3.98,0.34,0.5827,4.738
P4H6__Molport-002-516-971_model_0_ligand,-2.79,2.95,0.1897,4.921
P4H6__Molport-002-515-725_model_0_ligand,-6.74,1.21,0.4186,3.978
P4H6__Molport-002-520-519_model_0_ligand,-0.42,1.77,0.2369,4.921
P4H6__Molport-002-520-045_model_0_ligand,-2.86,-0.37,0.2397,4.884
P4H6__Molport-002-520-344_model_0_ligand,-1.82,0.85,0.2307,5.059
P4H6__Molport-002-519-585_model_0_ligand,-3.92,1.60,0.2526,5.167
P4H6__Molport-002-520-471_model_0_ligand,-3.69,1.30,0.2200,5.167
P4H6__Molport-002-534-554_model_0_ligand,-6.61,0.21,0.6160,4.063
P4H6__Molport-002-520-625_model_0_ligand,-1.54,3.57,0.2172,5.154
P4H6__Molport-002-522-488_model_0_ligand,-1.35,0.52,0.2555,5.145
P4H6__Molport-002-532-994_model_0_ligand,-4.94,3.60,0.2998,5.412
P4H6__Molport-002-527-181_model_0_ligand,1.46,0.24,0.2323,5.241
P4H6__Molport-002-522-284_model_0_ligand,-3.03,1.07,0.2684,5.403
P4H6__Molport-002-520-769_model_0_ligand,-1.14,0.11,0.2431,4.594
P4H6__Molport-002-527-254_model_0_ligand,1.69,3.52,0.2921,5.158
P4H6__Molport-002-524-058_model_0_ligand,1.49,3.52,0.4243,5.389
P4H6__Molport-002-558-058_model_0_ligand,-7.30,0.49,0.2821,4.592
P4H6__Molport-002-522-779_model_0_ligand,-6.08,2.91,0.2582,5.467
P4H6__Molport-002-534-832_model_0_ligand,-0.04,2.56,0.3262,5.470
P4H6__Molport-002-537-600_model_0_ligand,-6.43,7.02,0.3332,5.139
P4H6__Molport-002-559-154_model_0_ligand,-8.19,0.30,0.2879,4.749
P4H6__Molport-002-535-029_model_0_ligand,4.38,-0.52,0.4857,5.553
P4H6__Molport-002-520-491_model_0_ligand,1.92,2.57,0.2472,4.970
P4H6__Molport-002-563-069_model_0_ligand,4.17,1.25,0.4174,5.167
P4H6__Molport-002-572-666_model_0_ligand,-7.53,0.68,0.2238,4.789
P4H6__Molport-002-573-272_model_0_ligand,-7.71,0.06,0.6573,5.398
P4H6__Molport-002-573-239_model_0_ligand,-7.77,0.56,0.2925,4.981
P4H6__Molport-002-620-301_model_0_ligand,-1.17,-0.30,0.2843,4.639
P4H6__Molport-002-575-772_model_0_ligand,-7.76,0.53,0.1943,4.728
P4H6__Molport-002-598-313_model_0_ligand,-7.04,-0.42,0.5683,5.763
P4H6__Molport-002-597-951_model_0_ligand,10.01,3.37,0.2360,5.187
P4H6__Molport-002-604-242_model_0_ligand,9.57,1.44,0.2590,4.722
P4H6__Molport-002-605-165_model_0_ligand,10.68,1.83,0.2828,5.266
P4H6__Molport-002-606-399_model_0_ligand,9.97,1.77,0.3313,5.537
P4H6__Molport-002-599-240_model_0_ligand,11.98,1.31,0.3751,5.446
P4H6__Molport-002-560-979_model_0_ligand,21.40,0.66,0.2433,4.626
P4H6__Molport-002-621-888_model_0_ligand,-4.26,0.82,0.2946,5.115
P4H6__Molport-002-640-664_model_0_ligand,4.69,-0.41,0.1365,4.111
P4H6__Molport-002-650-602_model_0_ligand,-3.68,-0.52,0.5275,5.912
P4H6__Molport-002-618-535_model_0_ligand,-5.04,0.18,0.4081,5.238
