ligand_id,smiles,no_2og_binary,no_2og_pred_value,no_2og_ligand_iptm
P4H6__Molport-027-888-928,Cc1ocnc1C(=O)N1CCC2(C1)CCCN(C1CCOCC1)C2=O,0.849935412,-0.139206886,0.969945788
P4H6__Molport-028-575-003,Cc1ocnc1C(=O)N1CCC2(CN(CC3CCCO3)C(=O)C2)CC1,0.848680496,0.232303143,0.951077342
P4H6__Molport-002-248-771,CCC(C)C(NC(=O)C1CCCN1C(=O)C(NC(=O)OC(C)(C)C)C(C)C)C(N)=O,0.84675014,-0.275397778,0.97494626
P4H6__Molport-002-522-779,C[C@H](NC(=O)[C@H](C)NC(=O)CCc1c(C)c2cc3c(C)c(C)oc3cc2oc1=O)C(O)=O,0.845832586,-0.389061689,0.942911863
P4H6__Molport-002-522-488,Cc1coc2c(C)c3oc(=O)c(CCC(=O)NCC(=O)NCC(O)=O)c(C)c3cc12,0.84581852,-0.716198444,0.933901012
P4H6__Molport-035-879-400,Cc1cc(n[nH]1)N1CCC(CC1)NC(=O)C1COc2ccccc2O1,0.845193982,-1.180298805,0.983592749
P4H6__Molport-047-394-811,COc1cc2OCCOc2cc1-c1nccn1-c1cnc2sccn2c1=O,0.844936788,-1.55923748,0.93180114
P4H6__Molport-051-716-012,CN(C)CCNC(=O)[C@@]1(Cc2cscn2)C[C@H]2CC[C@@H]1N2C(=O)c1ccc[nH]1,0.84443748,-0.101349115,0.948211908
P4H6__Molport-047-733-906,Cc1ccc(nn1)N1C[C@@H]2[C@H](CNC(=O)CC3CCCC3)[C@H]3CC[C@]2(C1)O3,0.843984544,-0.534878016,0.959019125
P4H6__Molport-028-597-207,Cc1ocnc1C(=O)N1C[C@H]([C@@H]2[C@H]1C1CCN2CC1)c1ccc2OCOc2c1,0.842522323,-0.551329613,0.966889024
P4H6__Molport-001-646-451,O=C(c1ccc(COc2ccc3OCOc3c2)o1)n1cccn1,0.842231631,-0.367180586,0.947034717
P4H6__Molport-028-738-049,Fc1cnc(C(=O)N2CCC3(CC2)N(CCc2[nH]cnc32)C(=O)C2CC2)c(F)c1,0.841882229,-0.759025335,0.944398999
P4H6__Molport-016-706-731,O=C(Cc1ccc2OCCOc2c1)N1CCc2nc(ncc2C1)C1CCCN1,0.840151429,-0.797733068,0.955359876
P4H6__Molport-039-063-540,CC(C)C(=O)c1c(O)cc(O)c(C)c1O,0.839860082,0.756422043,0.98531425
P4H6__Molport-028-855-587,Cc1cc(=O)c(O)c(o1)C(CC(=O)N1CCOCC1)c1cc2cccc3CCCn(c23)c1=O,0.839797795,-1.630801201,0.95355922
P4H6__Molport-051-816-678,OC(=O)C12CC3CC(C1)C1(N=N1)C(C3)C2,0.839785814,2.152025223,0.981456637
P4H6__Molport-001-808-621,Oc1nnc(SCC(=O)c2ccc3OCCOc3c2)n1-c1cccnc1,0.839449823,-1.171917439,0.959578216
P4H6__Molport-047-934-436,Cc1cc(C)n(n1)-c1cc(ncn1)N1CC2CN(CC2C1)C(=O)C1CCOCC1,0.838153243,-0.556353331,0.977573395
P4H6__Molport-028-855-173,COc1ccc2cc(C(CC(=O)N3CCOCC3)c3oc(C)cc(=O)c3O)c(=O)n(C)c2c1,0.837035596,-1.087847948,0.965937138
P4H6__Molport-047-527-874,O=C(NC1CC1)c1cc2c(CCOC22CCN(CC2)C(=O)C2CCCN2)s1,0.837033391,-0.153348446,0.965421617
